Run,Target_%_Ox,Observed_Reduced_MS1,Observed_Reduced_MS2,Observed_Reduced_Combined,Expected_Reduced
James_0_S22,0,0.004389251686114977,0.005291005291005291,0.004840128488560134,0.0
James_0_S23,0,0.005868069607446378,0.00703030303030303,0.0064491863188747035,0.0
James_0_S24,0,0.007693096727869525,0.00926497838171711,0.008479037554793317,0.0
James_100_S1,100,0.9739762931034482,0.9745538843064316,0.97426508870494,0.9994723336484711
James_100_S2,100,0.9736192617780947,0.9741000877963125,0.9738596747872036,0.9994723336484711
James_100_S3,100,0.9719631326232132,0.9724461623412479,0.9722046474822306,0.9994723336484711
James_20_S19,20,0.1843590930124942,0.20262435154104363,0.19349172227676892,0.17302382438715136
James_20_S20,20,0.19961068837373916,0.21962616822429906,0.2096184282990191,0.17302382438715136
James_20_S21,20,0.20881878472844595,0.22892513263902534,0.21887195868373566,0.17302382438715136
James_40_S16,40,0.35195623342175064,0.3706678306416412,0.36131203203169593,0.35948296994557416
James_40_S17,40,0.37245759305410403,0.3915652467883705,0.38201141992123727,0.35948296994557416
James_40_S18,40,0.38659024888121224,0.40610309278350515,0.3963466708323587,0.35948296994557416
James_60_S13,60,0.5429091418171637,0.5563445950792626,0.5496268684482131,0.5593774366752683
James_60_S14,60,0.5608716248223591,0.574597892401553,0.5677347586119561,0.5593774366752683
James_60_S15,60,0.5797706634851196,0.5938221317040054,0.5867963975945625,0.5593774366752683
James_80_S10,80,0.7595604935240317,0.7663817663817664,0.762971129952899,0.7727072245762341
James_80_S11,80,0.7447540219165306,0.7517208919221039,0.7482374569193173,0.7727072245762341
James_80_S12,80,0.760693015701137,0.7675265553869499,0.7641097855440435,0.7727072245762341
James_90_S7,90,0.8695000288334006,0.8722161161566495,0.870858072495025,0.8844103639659436
James_90_S8,90,0.8779399837793999,0.8808997907463381,0.8794198872628689,0.8844103639659436
James_90_S9,90,0.8644317445354386,0.867652276759314,0.8660420106473763,0.8844103639659436
James_95_S4,95,0.9153092639238735,0.9173117917648379,0.9163105278443557,0.941521495020605
James_95_S5,95,0.9129389398344889,0.9150879946194372,0.9140134672269631,0.941521495020605
James_95_S6,95,0.9061304836895389,0.9078154054206344,0.9069729445550867,0.941521495020605
